icr_id,name,obverse_desc,reverse_desc,commentary,sample_serials,estimated_mintage
EI-1,Earliest 1oz Production Bar,"[1.000] [999+] [Hallmark in Elongated Octagon] [Serial Number]","Blank, no border","Earliest 1oz bar (late 1960s). Faint 'X8' over-stamp errors observed.","10023, 10030, 10031, 10038, 10062, 10063, 10088","<100"
EI-1,Engelhard Industries of Canada (No Bull),"[‘ENGELHARD INDUSTRIES OF CANADA LTD.’ in Elongated Octagon] [REFINERS & ASSAYERS] [1oz. troy SILVER 999 fine] [Serial Number]","Blank, no border","1968-early 1970s. Lacks Canadian 'Bull' Hallmark. Font change around 75000 serial.","05972, 13762, 38915, 41395, 43090, 44176, 44645, 45734, 60942, 72492, 76891","<17,500"
N/A,Engelhard Industries of Canada (Large Font),"[‘ENGELHARD INDUSTRIES OF CANADA LTD.’ in Elongated Octagon] [REFINERS & ASSAYERS] [1oz. troy SILVER 999 fine] [Serial Number]","Blank, no border","Similar to above, but with a larger serial font.","81787, 81790, 81791, 82109, 83489","<1,000"
N/A,Engelhard Industries of Canada (6-Digit No Bull),"[ENGELHARD INDUSTRIES OF CANADA LTD.] [REFINERS & ASSAYERS] [1 oz. troy SILVER 999 fine] [Serial Number]","Blank, no border","6-digit variety, lacks the Canadian 'Bull' Hallmark.","162581, 163588","1,000"
N/A,Engelhard Industries of Canada (A Prefix),"[ENGELHARD INDUSTRIES OF CANADA LTD.] [REFINERS & ASSAYERS] [1 oz troy SILVER 999 fine] [Serial Number] [Bull Hallmark]","Blank, no border","Includes Canadian 'Bull' Hallmark. 'A' serial prefix (likely prototype).","A 89049, A 89261, A 89309","<100"
N/A,Engelhard Industries of Canada (5-Digit),"[ENGELHARD INDUSTRIES OF CANADA LTD.] [REFINERS & ASSAYERS] [1 oz troy SILVER 999 fine] [Serial Number] [Bull Hallmark]","Blank, no border","5-digit serial (no letter prefix).","86284, 89936, 92031, 92960, 93344, 97875, 99123","<1,000"
N/A,Engelhard Industries of Canada (Unique Font),"[ENGELHARD INDUSTRIES OF CANADA LTD.] [REFINERS & ASSAYERS] [1 oz troy SILVER 999 fine] [Serial Number] [Bull Hallmark]","Blank, no border","6-digit serial, unique font (different 1, 3, 5).","100329, 101642, 102023, 102080, 102082, 102083, 102087, 102506, 102513","<250"
N/A,Engelhard Industries of Canada (Standard 6-Digit),"[ENGELHARD INDUSTRIES OF CANADA LTD.] [REFINERS & ASSAYERS] [1 oz troy SILVER 999 fine] [Serial Number] [Bull Hallmark]","Blank, no border","Standard 6-digit serial assignment.","140985, 142544, 144731, 158735, 164667","<12,500"
N/A,Engelhard Industries of Canada (Shortened 1),"[ENGELHARD INDUSTRIES OF CANADA LTD.] [REFINERS & ASSAYERS] [1 oz troy SILVER 999 fine] [Serial Number] [Bull Hallmark]","Blank, no border","6-digit serial, leading '1' has a shortened base.","109662, 109688, 109711, 109734, 109769, 118529, 139398","<500"
N/A,Engelhard Industries of Canada (Large Serial),"[ENGELHARD INDUSTRIES OF CANADA LTD.] [REFINERS & ASSAYERS] [1 oz troy SILVER 999 fine] [Serial Number] [Bull Hallmark]","Blank, no border","Larger serial number font.","107752, 107881, 107939, 107940, 107942, 107943, 107944, 107947","<250"
